P%,GF/GP,GA/GP,Net PP%,Net PK%,Shots/GP,SA/GP
0.73,3.39,2.18,16.70,89.60,32.70,27.30
0.73,3.52,2.36,21.30,83.60,34.60,25.40
0.71,3.13,2.39,22.00,89.20,32.00,28.20
0.71,3.36,2.70,18.40,82.10,34.90,30.00
0.69,3.45,2.77,21.10,81.30,30.10,30.00
0.69,3.36,2.88,19.60,85.20,29.40,28.80
0.69,3.32,2.64,15.50,80.60,31.30,27.80
0.67,3.21,2.59,20.70,85.80,30.20,28.30
0.67,3.21,2.84,15.80,82.00,28.30,30.40
0.65,2.93,2.39,18.10,91.00,33.30,27.10
0.64,3.27,2.75,25.30,83.80,29.90,30.70
0.63,2.71,2.23,18.80,86.70,29.00,28.40
0.57,2.70,2.75,16.40,79.00,30.00,31.30
0.56,3.04,2.71,21.10,82.60,29.70,30.60
0.56,2.98,2.98,22.60,81.30,29.00,29.80
0.54,3.14,2.77,18.40,87.00,28.70,29.70
0.54,2.79,2.64,21.00,81.10,30.30,27.10
0.53,2.82,2.95,17.90,83.70,31.20,28.20
0.52,2.86,3.52,15.60,73.70,30.20,29.20
0.49,2.84,3.29,17.70,78.80,29.20,33.70
0.48,2.68,3.11,18.50,82.00,27.50,30.50
0.48,2.71,2.87,14.50,81.40,30.20,28.30
0.46,2.77,3.38,12.60,83.00,29.70,32.10
0.46,2.65,3.29,14.70,82.90,29.20,33.50
0.44,2.61,3.50,11.50,83.20,30.00,32.00
0.44,2.54,3.02,17.20,85.50,28.30,31.20
0.43,2.23,3.00,8.70,78.70,27.30,31.90
0.43,2.39,3.29,13.70,83.50,29.00,32.40
0.40,2.59,3.38,11.00,73.00,28.80,31.00
0.38,2.21,3.16,4.90,81.10,26.80,30.60
0.33,2.39,3.50,17.50,81.30,28.40,33.70
