P%,GF/GP,GA/GP,Net PP%,Net PK%,Shots/GP,SA/GP,WinStanleyCup
0.799,3.96,2.21,19.3,92.8,32.3,24.2,0
0.806,4.49,2.29,31.4,85.3,32.8,25.9,1
0.78,3.89,2.7,27.1,89.5,32,32.1,0
0.756,3.67,2.51,20,87,34.1,26.6,0
0.738,3.82,2.77,22.7,80.1,32.8,30.9,0
0.732,3.02,2.33,19.9,85.9,30.6,28.4,0
0.744,5.58,3.93,21.4,89.2,32.6,33,1
0.744,5.33,3.88,21.2,87.7,33.1,34.7,0
0.708,4.37,3.19,19.6,87.9,32.4,30.7,0
0.72,3.18,2.16,21.9,85.7,30.4,27.8,0
0.738,4.81,3.13,26.7,84.8,30.9,30.1,1
0.72,3.29,2.34,19,86,29.2,25.1,1
0.713,3.15,2.2,23.7,87.5,32,30.1,0
0.713,3.15,2.09,19.1,87.1,31.9,29.1,0
0.731,4.43,2.83,23.2,85,34.6,25.7,1
0.713,3.18,2.49,19.4,85.3,32.2,32.4,0
0.713,3.06,2.43,21.1,87.3,33.2,27.2,0
0.707,3.21,2.48,13.1,85.9,31.3,28.7,0
0.707,3.29,2.32,21.4,85,30.3,30.8,0
0.707,3.06,2.28,18.4,88.6,31,26.3,1
0.725,4.48,2.68,29.6,82.6,28.8,28.9,0
0.725,4.09,3.18,13.7,82.8,33.8,27.7,0
0.701,3.07,2.18,18.9,85.4,34.4,23.5,1
0.719,3.94,2.73,17.6,84.1,30.9,26.5,0
0.719,4.21,2.55,25.4,86.9,32.2,25.4,1
0.695,3.33,2.63,20.8,85,32.2,31.9,0
0.695,3.02,2.01,17,91.6,29.8,22.1,0
0.695,2.88,2.05,17.8,88.4,27.6,24,1
0.689,3.54,2.85,22.8,79.5,32.7,32.7,0
0.706,4.35,3.01,20.3,85.9,33.7,29.8,0
0.689,3.02,2.28,14.2,88.1,31.5,29.5,0
0.689,3.63,2.9,14.3,83.4,29.5,31,0
0.689,3.8,2.5,18.6,89.9,34.3,28.6,0
0.689,3.21,2.22,19.2,86.1,29.8,24.8,0
0.689,3.13,2.55,18.1,87.5,31.7,31.4,0
0.706,4.16,2.73,19.4,84.5,30.3,22.5,0
0.689,3.07,2.33,14.3,87.5,33.8,24.6,0
0.683,3.09,2.65,16.3,85.7,28.5,25.6,0
0.683,3.49,3.15,15.4,85.6,31.1,30.5,1
0.683,2.99,2.63,19.4,81.9,29.5,32.7,0
0.683,3.2,2.48,16.3,90.2,34.1,25.1,1
0.667,3.56,2.75,21.8,89.2,34.2,27.7,1
0.683,3.52,2.93,24.4,80.1,36.2,27.7,0
0.683,3.26,2.57,19.7,87.4,33,29.3,0
0.677,2.91,2.29,17.7,87.7,29.3,26.4,0
0.677,2.91,2.35,15.1,88.6,34.8,27.8,0
0.677,2.94,2.33,18.4,88.5,31.5,30.8,0
0.677,3.39,2.79,20.4,81.7,33.5,32.6,1
0.677,3.09,2.46,20.3,88.3,32.3,27.1,0
0.677,3.6,2.38,21,87.5,31.6,24.7,0
0.694,4.18,2.63,28.8,86.1,31.1,28.2,0
0.694,5.21,3.69,23.2,85,33.6,31.7,0
0.677,2.99,2.06,17.1,88.2,30.1,25.3,0
0.688,4.19,3.01,21.3,86.9,34.1,28.9,0
0.671,3.37,2.85,17.6,88.8,30.6,30.5,0
0.671,3.24,2.52,16.9,87.9,27.6,31.2,0
0.671,2.61,2.24,14.8,86.4,28.5,30.1,0
0.688,4.09,2.85,20.9,83.3,30.9,24.8,0
0.688,4.44,3.25,27.4,84.5,30.2,30.2,1
0.671,3.28,2.48,22.6,88.3,29.8,28.8,0
0.671,3.1,2.41,21.4,86.1,31.5,27.4,1
0.688,3.98,2.51,22.9,83.7,29.3,24,0
0.665,2.71,2.22,14.3,89.2,28.5,27.8,0
0.665,2.95,2.49,21.2,86.6,29.9,28.8,0
0.665,2.91,2.4,20.3,84.4,30.9,27.2,0
0.665,2.78,2.7,13.2,84.3,30,28.9,0
0.649,3.95,3.19,19.1,87.7,34.4,26.1,0
0.665,3.27,2.74,19,84.8,32.8,30.7,0
0.665,2.93,2.59,15,78.2,30.6,31.4,0
0.665,3.23,2.78,16.4,86.3,32,28.9,0
0.681,5.01,3.73,24,85.5,32.4,32.9,1
0.665,2.95,2.04,17.7,91.2,26.8,22.8,0
0.665,2.51,1.89,15.6,88.3,30.6,26.7,0
0.665,3.34,2.5,17.3,89.2,30.2,27.3,0
0.665,3.11,2.3,18.5,91.5,30.3,26.2,0
0.681,4.5,2.79,22.6,83.2,33.8,27.5,0
0.659,3.33,2.66,16.3,91.9,33.9,27.4,0
0.659,3.16,2.51,16.7,86.4,29.6,27.9,0
0.659,3.27,2.93,22,82.4,33.5,29.5,0
0.659,3.01,2.35,19,87,31,30.4,0
0.659,2.63,2.28,16.3,88.1,29.6,24.2,0
0.659,3.39,2.56,18.6,90.7,32,26.5,0
0.659,2.63,2.02,10.6,90.5,31.7,23.6,1
0.652,3.12,2.4,21.5,85.5,28.6,26.2,0
0.652,2.65,2.35,17.1,85.2,28,25.4,0
0.652,2.57,2.39,12.4,85.5,30.5,29.6,0
0.652,3.52,2.72,16.7,87,32.4,28.1,0
0.669,3.94,3.4,21.2,84.7,30.3,27.7,0
